customer_id,Total_Spending,num_of_orders,order_created_date,Return_Count,customer_age,customer_gender_encoded,Recency,Frequency,Average_Order_Value,Customer_segment,Customer_segment_label
1,19039.74,6,2022-07-18 12:55:00.000000,1,62,1,78,4.94,3173.29,1,Medium Value Customers
2,47560.36,47,2022-02-20 10:34:00.000000,1,65,0,14,0.54,1011.92,2,High Value Customers
3,36733.7,9,2023-04-02 09:13:00.000000,1,16,0,19,4.01,4081.52,2,High Value Customers
4,30133.59,18,2022-10-18 09:31:00.000000,1,12,1,17,2.22,1674.09,2,High Value Customers
5,8222.92,45,2022-10-20 10:03:00.000000,1,52,1,214,3.07,182.73,0,Low Value Customers
6,8221.73,33,2022-04-08 04:38:00.000000,1,65,0,149,1.54,249.14,0,Low Value Customers
7,3375.14,38,2022-02-26 16:52:00.000000,1,32,0,103,1.67,88.82,0,Low Value Customers
8,43375.72,22,2021-07-15 17:15:00.000000,1,70,0,12,1.97,1971.62,2,High Value Customers
9,30255.19,33,2023-11-02 17:44:00.000000,1,39,0,183,1.37,916.82,2,High Value Customers
11,35549.59,44,2024-01-11 09:06:00.000000,1,41,1,206,3.5,807.95,2,High Value Customers
12,1518.93,29,2023-04-06 15:13:00.000000,1,40,1,254,2.3,52.38,0,Low Value Customers
13,48510.54,16,2024-01-16 12:54:23.787985,1,54,1,298,1.14,3031.91,2,High Value Customers
15,41705.91,4,2022-06-16 08:38:00.000000,1,30,0,266,0.7,10426.48,2,High Value Customers
16,11010.79,36,2023-06-02 18:57:00.000000,1,67,0,352,4.4,305.86,1,Medium Value Customers
17,9500.34,10,2019-06-15 12:17:00.000000,1,29,0,238,2.95,950.03,0,Low Value Customers
18,9578.52,32,2023-07-04 07:59:00.000000,1,17,0,151,4.08,299.33,0,Low Value Customers
19,15559.99,32,2022-07-26 18:56:00.000000,1,21,1,38,2.9,486.25,1,Medium Value Customers
20,26475.44,14,2023-08-09 10:23:00.000000,1,13,0,236,2.9,1891.1,1,Medium Value Customers
22,21881.28,20,2024-01-15 15:14:00.000000,1,28,0,18,0.86,1094.06,1,Medium Value Customers
24,14915.84,18,2023-11-19 04:30:00.000000,1,69,1,29,4.29,828.66,1,Medium Value Customers
25,30786.72,3,2023-07-14 08:12:00.000000,1,56,0,198,2.02,10262.24,2,High Value Customers
26,7404.95,6,2024-01-17 09:10:00.000000,1,35,1,230,3.2,1234.16,0,Low Value Customers
27,14961.16,18,2022-02-08 11:19:00.000000,1,22,0,24,2.52,831.18,1,Medium Value Customers
29,18634.91,32,2022-08-06 18:29:00.000000,1,34,1,165,4.07,582.34,1,Medium Value Customers
30,23075.46,9,2023-05-30 12:53:00.000000,1,16,1,308,0.68,2563.94,1,Medium Value Customers
32,39366.21,26,2021-11-27 16:37:00.000000,1,70,1,352,3.35,1514.08,2,High Value Customers
33,10383.85,45,2021-01-26 01:57:00.000000,1,30,0,19,0.97,230.75,1,Medium Value Customers
34,25954.6,42,2023-06-08 11:36:00.000000,1,61,1,297,1.96,617.97,1,Medium Value Customers
35,29824.52,48,2023-12-27 04:36:00.000000,1,60,1,69,0.27,621.34,1,Medium Value Customers
37,2799.3,19,2023-03-05 07:45:00.000000,1,34,1,286,3.98,147.33,0,Low Value Customers
38,30573.47,6,2023-12-02 06:33:00.000000,1,35,1,155,0.15,5095.58,2,High Value Customers
39,8940.94,2,2022-08-26 00:12:00.000000,1,47,0,326,3.85,4470.47,0,Low Value Customers
40,3720.05,28,2021-12-05 00:09:00.000000,1,44,0,175,2.63,132.86,0,Low Value Customers
